governor_id,started,cancelled,completed,hit_target,joined,name
187197045,56,1,55,55,82,Pªᶦᶰ痛苦
187799168,83,2,81,81,332,ˣøızysˣ
8849165,51,7,44,44,78,Rpgrisen
98351074,52,4,48,48,23,ᶦᴺBuckNaked
187389003,72,10,62,62,71,紅昭願
113338372,40,6,34,34,30,ミKUSHbrodaˢᴰ
145819667,0,0,0,0,13,ミKUSHmin2
77929499,96,12,84,84,83,Exhauśted
27509309,114,10,104,104,99,VeiLSide
187283502,28,1,27,27,3,Nanog
185924010,57,1,56,56,88,Lulu〤Kuro
81422366,28,0,28,28,5,Sᴋ Šataň
185866462,156,6,150,150,152,Ari no me
32090653,18,1,17,17,37,achen
13713321,14,0,14,14,38,Uzï
71796687,56,4,52,52,116,Ùz
56770031,68,4,64,64,86,BêarDöwn
127526974,116,17,99,99,94,Flaps Majora
187860212,35,4,31,31,51,Dale349
179185466,18,1,17,17,45,义 Søsø 义
179719789,41,4,37,37,22,ĐậuĐậu松
187349574,48,3,45,45,63,kermit ᵏyriib
177708673,39,9,30,30,33,Chu Huong ツ
187800242,80,19,61,61,66,king Angon
187200379,34,6,28,28,27,ᴮᵍᴿ tkhd
62957514,35,4,31,31,45,HieuVMxNewStart
115932574,54,7,47,47,50,Bushido ᶦᴺ
96421094,24,2,22,22,24,Vanillą
148086205,99,7,92,92,87,Naimaa
167512329,35,0,35,35,77,Naimaa mini
187712562,31,3,28,28,19,Ucey Loosey
187196169,55,7,48,48,26,Geoᶦᴺ
187196101,118,13,105,105,44,ᴬᴴyoshioka
179005837,58,0,58,58,66,命Shanaía
188436437,11,0,11,11,107,乂Youtab乂
174585155,62,7,55,55,71,Daddy Avis
187152965,37,0,37,37,35,Beasty
187152986,39,0,39,39,43,Beautyy
176039213,27,1,26,26,44,Long Ju
163023580,159,16,143,143,0,Panda 65
177454336,60,8,52,52,27,Papa Tony
134720015,76,9,67,67,44,Devil of Soul
41608562,11,0,11,11,15,Black CAT
177327767,0,0,0,0,27,NHDuVNO1
163292091,57,11,46,46,51,AlongHK
142139783,101,2,99,99,61,ᶠʳBenfica
22506551,1,1,0,0,20,Benficafarm1
15923779,33,3,30,30,41,Si Mondu
174094283,39,4,35,35,28,Lil Tony
123461709,61,3,58,58,42,ᶦᴺAvantGard
129929526,96,8,88,88,21,king乄Hasan
178000344,61,10,51,51,34,Romsᶦᴺ
178569940,0,0,0,0,5,RomsF3
165047930,0,0,0,0,5,RomsF2
140663165,103,10,93,93,25,ᶠʳLouLou
68803008,54,4,50,50,51,Simsbadger
177811681,80,10,70,70,16,Papi Horst
64797310,19,2,17,17,42,Diego67
167259324,38,7,31,31,13,Anh 7 gàᶦᴺ
178105884,28,5,23,23,13,RomFarm1
188472124,0,0,0,0,172,乂Big Boss乂
176576846,21,5,16,16,26,Bayekᶦᴺ
178806902,140,15,125,125,105,ѕʀ
44967924,33,5,28,28,21,WIZZIE
160562041,5,2,3,3,7,㋡Aeger㋡
174363386,39,10,29,29,27,ItsDinoMofo
174370367,18,1,17,17,32,SiIverKass
60675175,11,0,11,11,4,SilverKass F5
138952918,80,6,74,74,75,雄Silfieshi
178194046,54,7,47,47,61,Serein HERE
9545014,72,4,68,68,52,亗 Shiro 亗
46366830,45,2,43,43,0,Sotimerri
187800002,19,0,19,19,50,Lurtzᶦᴺ
35894604,69,5,64,64,69,ᶦᴺZvizy
177594050,32,3,29,29,25,Zagob
184237961,46,1,45,45,119,Kandee
178779114,28,7,21,21,0,SmallLCN
121127769,50,9,41,41,66,BillionDTᶦᴺ
184344021,28,2,26,26,28,Sìr Pøunds
125326841,146,7,139,139,17,sora x roki
177924281,34,3,31,31,34,Känö
